Zeit;Kanal A
(ms);(mV)

-22,02906163;0,93996060
-22,02406163;1,88053600
-22,01906163;-0,18762300
-22,01406163;1,31643700
-22,00906163;1,69291300
-22,00406163;1,88053600
-21,99906163;1,50467500
-21,99406163;0,93996060
-21,98906163;0,56409940
-21,98406163;1,31643700
-21,97906163;0,93996060
-21,97406163;3,00935000
-21,96906163;0,18762300
-21,96406163;2,82111200
-21,95906163;-0,75233760
-21,95406163;0,00000000
-21,94906163;0,18762300
-21,94406163;-0,75233760
-21,93906163;1,50467500
-21,93406163;-1,12819900
-21,92906163;-0,18762300
-21,92406163;0,56409940
-21,91906163;1,50467500
-21,91406163;-0,56409940
-21,90906163;0,00000000
-21,90406163;0,18762300
-21,89906163;0,18762300
-21,89406163;0,93996060
-21,88906163;0,75233760
-21,88406163;-0,37586120
-21,87906163;3,19758800
-21,87406163;0,93996060
-21,86906163;1,31643700
-21,86406163;1,12819900
-21,85906163;0,75233760
-21,85406163;-0,56409940
-21,84906163;1,12819900
-21,84406163;1,12819900
-21,83906163;0,00000000
-21,83406163;0,75233760
-21,82906163;0,75233760
-21,82406163;0,75233760
-21,81906163;1,12819900
-21,81406163;1,69291300
-21,80906163;0,75233760
-21,80406163;-0,18762300
-21,79906163;-0,56409940
-21,79406163;0,18762300
-21,78906163;0,00000000
-21,78406163;0,93996060
-21,77906163;0,56409940
-21,77406163;-0,37586120
-21,76906163;-0,18762300
-21,76406163;-0,75233760
-21,75906163;1,12819900
-21,75406163;0,37586120
-21,74906163;0,00000000
-21,74406163;0,37586120
-21,73906163;0,75233760
-21,73406163;1,31643700
-21,72906163;0,37586120
-21,72406163;0,00000000
-21,71906163;-0,18762300
-21,71406163;0,93996060
-21,70906164;0,56409940
-21,70406164;0,56409940
-21,69906164;1,12819900
-21,69406164;-0,18762300
-21,68906164;-1,12819900
-21,68406164;-1,50467500
-21,67906164;-0,18762300
-21,67406164;-0,37586120
-21,66906164;0,18762300
-21,66406164;-0,37586120
-21,65906164;0,00000000
-21,65406164;0,00000000
-21,64906164;-0,56409940
-21,64406164;-0,18762300
-21,63906164;0,37586120
-21,63406164;0,75233760
-21,62906164;0,00000000
-21,62406164;-0,93996060
-21,61906164;0,93996060
-21,61406164;-0,75233760
-21,60906164;0,18762300
-21,60406164;-0,18762300
-21,59906164;0,18762300
-21,59406164;-0,75233760
-21,58906164;-0,18762300
-21,58406164;-1,12819900
-21,57906164;0,18762300
-21,57406164;-1,69291300
-21,56906164;1,12819900
-21,56406164;-2,63348900
-21,55906164;-1,12819900
-21,55406164;-0,75233760
-21,54906164;-2,25701300
-21,54406164;-0,75233760
-21,53906164;-0,37586120
-21,53406164;0,00000000
-21,52906164;-1,12819900
